token,occurrence,emotion
zielone,181,[]
zielona,179,[]
zielony,164,[]
kieszonkowy,59,[]
nowe,56,['radość;zaskoczenie czymś nieprzewidywanym;smutek;']
zielonych,38,[]
ptasiej,38,[]
psi,36,[]
mini,36,[]
solankowa,35,[]
kwietna,32,[]
podstawowej,31,[]
ii,29,[]
ekologiczne,28,[]
sensoryczny,26,[]
lęgowych,23,[]
nowa,22,[]
zielonego,21,[]
nowych,21,['radość;zaskoczenie czymś nieprzewidywanym;smutek;']
lęgowe,21,[]
sąsiedzki,20,[]
nowy,20,['radość;zaskoczenie czymś nieprzewidywanym;smutek;']
miejski,20,"['złość;radość;smutek' 'złość;radość;smutek' 'złość;radość;smutek'
 'zaufanie;złość;wstręt;']"
wodne,19,[]
miejskiej,19,"['złość;radość;smutek' 'złość;radość;smutek' 'złość;radość;smutek'
 'zaufanie;złość;wstręt;']"
miejskiego,19,"['złość;radość;smutek' 'złość;radość;smutek' 'złość;radość;smutek'
 'zaufanie;złość;wstręt;']"
przyjazne,18,[]
osiedlowy,18,[]
kwitnące,18,[]
czyste,18,[]
parkowe,17,[]
miejskim,17,"['złość;radość;smutek' 'złość;radość;smutek' 'złość;radość;smutek'
 'zaufanie;złość;wstręt;']"
miejskie,17,"['złość;radość;smutek' 'złość;radość;smutek' 'złość;radość;smutek'
 'zaufanie;złość;wstręt;']"
zielonej,16,[]
miejskich,16,"['złość;radość;smutek' 'złość;radość;smutek' 'złość;radość;smutek'
 'zaufanie;złość;wstręt;']"
ekologiczny,16,[]
rekreacyjny,15,[]
pitnej,15,[]
ozdobnych,15,[]
antysmogowa,15,[]
wodny,14,[]
kwietne,14,[]
deszczowy,14,[]
deszczowe,14,[]
przyjazny,13,[]
piękne,13,[]
naturalny,13,['zaufanie;radość;smutek' 'zaufanie;radość;smutek']
kieszonkowe,13,[]
bezpieczny,13,[]
antysmogowej,13,[]
solankowej,12,[]
kwiatowe,12,[]
ekologicznych,12,[]
edukacyjna,12,[]
bezpieczne,12,[]
wolne,11,[]
starym,11,"['zaufanie;złość;radość;wstręt' 'zaufanie;złość;radość;wstręt'
 'wstręt;radość' 'wstręt;radość']"
polskiego,11,[]
piłsudskiego,11,[]
nowym,11,['radość;zaskoczenie czymś nieprzewidywanym;smutek;']
nowego,11,['radość;zaskoczenie czymś nieprzewidywanym;smutek;']
małych,11,['radość;smutek;złość;' 'radość;wstręt;' 'wstręt;']
kaczy,11,[]
wodnych,10,[]
wodnego,10,[]
starych,10,"['zaufanie;złość;radość;wstręt' 'zaufanie;złość;radość;wstręt'
 'wstręt;radość' 'wstręt;radość']"
psie,10,[]
parkowej,10,[]
kwitnących,10,[]
ekologiczna,10,[]
zielonym,9,[]
właścicielskich,9,[]
stare,9,"['zaufanie;złość;radość;wstręt' 'zaufanie;złość;radość;wstręt'
 'wstręt;radość' 'wstręt;radość']"
psia,9,[]
postojowych,9,[]
leśny,9,[]
leśna,9,[]
rzeczny,8,[]
rekreacyjne,8,[]
publicznej,8,[]
przyrodnicze,8,[]
przedszkolnego,8,[]
postojowe,8,[]
polana,8,[]
owocowe,8,[]
nowej,8,[]
miejska,8,"['złość;radość;smutek' 'złość;radość;smutek' 'złość;radość;smutek'
 'zaufanie;złość;wstręt;']"
magiczny,8,[]
krupniczej,8,[]
dużych,8,['radość;cieszenie się na coś oczekiwanego;smutek;złość;' 'zaufanie;']
deszczowej,8,[]
tajemniczy,7,"['radość;smutek' 'radość;smutek' 'radość;smutek;'
 'radość;zaskoczenie czymś nieprzewidywanym;smutek;'
 'cieszenie się na coś oczekiwanego;zaskoczenie czymś nieprzewidywanym;'
 'cieszenie się na coś oczekiwanego;zaskoczenie czymś nieprzewidywanym;']"
społeczny,7,[]
sensoryczną,7,[]
rodzinne,7,['radość;smutek' 'radość;smutek;']
rekreacyjna,7,[]
matej,7,[]
gdańska,7,[]
dzikich,7,"['złość;radość;smutek;strach' 'złość;radość;smutek;strach' 'złość;radość'
 'złość;radość' 'złość;radość;strach' 'złość;radość;strach'
 'radość;smutek' 'radość;smutek']"
całej,7,"['radość;smutek' 'złość;cieszenie się na;radość' 'radość;smutek;'
 'radość;smutek;złość;strach;']"
bezdomnych,7,[]
żyjących,6,[]
wzdluz,6,[]
wierzbowa,6,[]
teofilowa,6,[]
starszych,6,[]
starego,6,[]
saskiej,6,[]
rowerowy,6,[]
rodzinny,6,['radość;smutek' 'radość;smutek;']
przyulicznej,6,[]
plenerowe,6,[]
pierwszy,6,"['radość;cieszenie się na coś oczekiwanego;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;'
 'radość;złość;wstręt;' 'radość;smutek;złość;']"
pierwsza,6,[]
parkowych,6,[]
parkowa,6,[]
ogrodowych,6,[]
małym,6,['radość;smutek;złość;' 'radość;wstręt;' 'wstręt;']
mała,6,[]
leśnym,6,[]
krzemienieckiej,6,[]
konin,6,[]
kolejny,6,[]
jordanowskiego,6,[]
jordanowski,6,[]
jeży,6,[]
integracyjny,6,[]
innych,6,[]
edukacyjny,6,[]
dawnego,6,[]
bezpłatne,6,[]
bezpieczna,6,[]
żyjącymi,5,[]
żyjącym,5,[]
zróbmy,5,[]
zieloną,5,[]
wypoczynkowy,5,[]
widokowy,5,[]
słowackiego,5,[]
sąsiedzkie,5,[]
szacunkowe,5,[]
stary,5,"['zaufanie;złość;radość;wstręt' 'zaufanie;złość;radość;wstręt'
 'wstręt;radość' 'wstręt;radość']"
starej,5,['zaufanie;złość;wstręt' 'zaufanie;złość;wstręt']
stara,5,['zaufanie;złość;wstręt' 'zaufanie;złość;wstręt']
sportowy,5,[]
sobieskiego,5,[]
sikorskiego,5,[]
retencyjnym,5,[]
retencyjnego,5,[]
psim,5,[]
psiego,5,[]
przedszkolny,5,[]
piękniejsza,5,[]
paryskiej,5,[]
otwarta,5,"['zaufanie;smutek;złość;' 'zaufanie;smutek;złość;' 'zaufanie;złość;radość'
 'zaufanie;złość;radość']"
osiedlowej,5,[]
nowowiejskiej,5,[]
niskiej,5,['radość;smutek;złość;' 'radość;wstręt;']
małego,5,['radość;smutek;złość;' 'radość;wstręt;' 'wstręt;']
magnoliowa,5,[]
kwiatowych,5,[]
krajowej,5,[]
konopnickiej,5,[]
kazdej,5,[]
istniejącego,5,[]
inne,5,[]
identyfikacyjny,5,[]
górniczej,5,[]
górczewska,5,[]
ekologicznego,5,[]
dąbrowskiego,5,[]
drogowego,5,[]
drewnowską,5,[]
deszczowego,5,[]
czworonożnych,5,[]
całym,5,"['radość;smutek' 'złość;cieszenie się na;radość' 'radość;smutek;'
 'radość;smutek;złość;strach;']"
cały,5,"['radość;smutek' 'złość;cieszenie się na;radość' 'radość;smutek;'
 'radość;smutek;złość;strach;']"
borkowski,5,[]
świętokrzyska,4,[]
świetnej,4,[]
śródmiejski,4,[]
śląskiej,4,[]
śląskich,4,[]
łódzkim,4,[]
zwyczajny,4,['radość;smutek;']
zimowe,4,[]
zapylających,4,[]
zagajnikowej,4,[]
zachodniej,4,[]
wysokiej,4,['radość;smutek;złość;']
wschodniej,4,[]
wielofunkcyjne,4,[]
wielkopolski,4,[]
wielki,4,"['radość;smutek;złość;strach;' 'złość;radość;smutek'
 'radość;smutek;złość;wstręt;' 'radość;smutek;']"
warszawskich,4,[]
uljanowskim,4,[]
słoneczna,4,[]
stałe,4,['radość;smutek']
sportowego,4,[]
spokojnej,4,[]
spacerowych,4,[]
spacerowa,4,[]
sowińskiego,4,[]
solna,4,[]
solankowe,4,[]
sienkiewicza,4,[]
rozdanych,4,[]
rowerowe,4,[]
rowerowa,4,[]
retencyjnych,4,[]
retencyjny,4,[]
rekreacyjnej,4,[]
rehabilitacyjne,4,[]
północnej,4,[]
północnego,4,[]
ptasi,4,[]
psich,4,[]
praskie,4,[]
podwórkowe,4,[]
podstawowa,4,[]
podolskim,4,[]
piękny,4,[]
pieszorowerowa,4,[]
ozdobna,4,[]
owocowy,4,[]
osiedlowym,4,[]
osiedlowego,4,[]
ogólnodostępnego,4,[]
ogrodzony,4,[]
ogrodowej,4,[]
ochocki,4,[]
niepełnosprawnych,4,[]
naturalne,4,['zaufanie;radość;smutek' 'zaufanie;radość;smutek']
maratońskiej,4,[]
magiczna,4,[]
leśne,4,[]
letnie,4,[]
kwitnąca,4,[]
królewskiej,4,[]
królewska,4,[]
krakowski,4,[]
kolorowy,4,[]
kolejnych,4,[]
kilińskiego,4,[]
julianowski,4,[]
fabryczna,4,[]
ekologicznej,4,[]
eko,4,[]
edukacyjne,4,[]
dąbrowskie,4,[]
dzikim,4,"['złość;radość;smutek;strach' 'złość;radość;smutek;strach' 'złość;radość'
 'złość;radość' 'złość;radość;strach' 'złość;radość;strach'
 'radość;smutek' 'radość;smutek']"
dzikiej,4,"['złość;radość;smutek;strach' 'złość;radość;smutek;strach' 'złość;radość'
 'złość;radość' 'złość;radość;strach' 'złość;radość;strach'
 'radość;smutek' 'radość;smutek']"
dzielnicowe,4,[]
działkowych,4,[]
drogowym,4,[]
dotycząca,4,[]
dolnym,4,[]
dodatkowe,4,[]
darłowski,4,[]
darmowe,4,[]
całego,4,"['radość;smutek' 'złość;cieszenie się na;radość' 'radość;smutek;'
 'radość;smutek;złość;strach;']"
brzozowy,4,[]
botanicznym,4,[]
białowieska,4,[]
bałuty,4,[]
bandurskiego,4,[]
żoliborskie,3,[]
żoliborska,3,[]
świąteczny,3,[]
śpiewające,3,[]
łódzka,3,[]
łużyckiej,3,[]
łanowej,3,[]
znajdującego,3,[]
zlokalizowanego,3,[]
zgierskiej,3,[]
zewnętrznej,3,[]
zatwierdzonych,3,[]
zasadzonych,3,[]
zaniedbanego,3,[]
zadbany,3,[]
zadbana,3,[]
wykonane,3,[]
wygodne,3,[]
wybranych,3,[]
wybrany,3,[]
wspólne,3,[]
wspólna,3,[]
wrocławskiej,3,[]
wodna,3,[]
wiśniowa,3,[]
wilanowskiej,3,[]
wielopokoleniowe,3,[]
wielofunkcyjnym,3,[]
wielka,3,"['radość;smutek;złość;strach;' 'złość;radość;smutek'
 'radość;smutek;złość;wstręt;' 'radość;smutek;']"
warszawskiej,3,[]
warszawskie,3,[]
testowej,3,[]
tarnogórski,3,[]
tarnobrzeskim,3,[]
słoneczny,3,[]
słoneczne,3,[]
szymańskiego,3,[]
szkolny,3,[]
szklanymi,3,[]
szczęśliwickiej,3,[]
społecznościowy,3,[]
społecznej,3,[]
sportowej,3,[]
sportowe,3,[]
sportowa,3,[]
spacerowy,3,[]
solarne,3,[]
sobieszewskiej,3,[]
skaryszewskim,3,[]
siedliskowych,3,[]
sensoryczna,3,[]
różnych,3,[]
ruchowej,3,[]
rowerowej,3,[]
rosnących,3,"['radość;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;'
 'radość;smutek;złość;' 'radość;złość;strach;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;']"
rodzimych,3,[]
retkińskiej,3,[]
rekreacyjnego,3,[]
ratunkowego,3,[]
ratowniczy,3,[]
płockiej,3,[]
puławskiej,3,[]
puławska,3,[]
ptasie,3,[]
przyrodnicza,3,[]
przyjaznym,3,[]
przyjazna,3,[]
przewidziane,3,[]
prawnych,3,[]
praskich,3,[]
pożarnej,3,[]
południowych,3,[]
posadzone,3,[]
pomocniczej,3,[]
polskiej,3,[]
polny,3,[]
podstawowych,3,[]
plenerowa,3,[]
pierwsze,3,"['radość;cieszenie się na coś oczekiwanego;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;'
 'radość;złość;wstręt;' 'radość;smutek;złość;']"
ozdobne,3,[]
owocowych,3,[]
owadożernych,3,[]
otwartej,3,[]
otwarte,3,"['zaufanie;smutek;złość;' 'zaufanie;smutek;złość;' 'zaufanie;złość;radość'
 'zaufanie;złość;radość']"
osobowickiej,3,[]
ogólnodostępne,3,[]
ochotniczego,3,[]
obywatelski,3,[]
nowymi,3,['radość;zaskoczenie czymś nieprzewidywanym;smutek;']
nowoursynowska,3,[]
nowosądecki,3,[]
nowoczesna,3,[]
niskich,3,['radość;smutek;złość;' 'radość;wstręt;']
narutowicza,3,[]
najlepsza,3,['radość;']
najdłuższy,3,[]
młodej,3,[]
myśliwska,3,[]
muzyczny,3,[]
morskiej,3,[]
mokotowa,3,[]
mogilskim,3,[]
modrzewiowej,3,[]
mały,3,['radość;smutek;złość;' 'radość;wstręt;' 'wstręt;']
marysińskiej,3,[]
lądowe,3,[]
liściastych,3,[]
litewska,3,[]
ligowe,3,[]
leśnej,3,[]
legowych,3,[]
kwietnych,3,[]
kwiatowy,3,[]
krakowskich,3,[]
kozłowskiego,3,[]
korotyńskiego,3,[]
kolorowe,3,[]
kolejne,3,[]
ko,3,[]
kleparskim,3,[]
kijowska,3,[]
katowickiej,3,[]
kaczkowate,3,[]
julianowskim,3,[]
jerozolimskich,3,[]
jadalny,3,[]
iv,3,[]
istniejących,3,[]
istniejacych,3,[]
istniejacej,3,[]
istniejacego,3,[]
inwestycyjne,3,[]
inwestorskich,3,[]
interaktywny,3,[]
indywidualnej,3,[]
iglastych,3,[]
henrykowski,3,[]
głównej,3,[]
górnej,3,[]
górna,3,[]
gustowska,3,[]
grójecka,3,[]
grunwaldu,3,[]
grabiszyński,3,[]
gdańskiej,3,[]
gdanska,3,[]
elektrycznej,3,[]
edukacyjnych,3,[]
dąbrowska,3,[]
dąbrowa,3,[]
dziki,3,"['złość;radość;smutek;strach' 'złość;radość;smutek;strach' 'złość;radość'
 'złość;radość' 'złość;radość;strach' 'złość;radość;strach'
 'radość;smutek' 'radość;smutek']"
dzielnicowy,3,[]
dydaktyczna,3,[]
duży,3,['radość;cieszenie się na coś oczekiwanego;smutek;złość;' 'zaufanie;']
duże,3,['radość;cieszenie się na coś oczekiwanego;smutek;złość;' 'zaufanie;']
drugi,3,[]
drobnych,3,[]
drewniane,3,[]
dobrego,3,[]
deszczowym,3,[]
daszyńskiego,3,[]
czarny,3,[]
chroniące,3,"['zaufanie;smutek;złość;'
 'zaufanie;cieszenie się na coś oczekiwanego;złość;wstręt;']"
chorzowski,3,[]
chojny,3,[]
centralnej,3,[]
cebulowych,3,[]
byłym,3,[]
bydgoskim,3,[]
bukowe,3,[]
brukowa,3,[]
botanicznego,3,[]
białobrzeski,3,[]
białej,3,[]
antoniego,3,[]
akustyczne,3,['złość;radość;smutek' 'złość;radość;smutek']
żywieckim,2,[]
żyjące,2,[]
żoliborz,2,[]
żeromskiego,2,[]
świadomy,2,['radość;smutek;' 'cieszenie się na coś oczekiwanego;smutek;strach;']
śródmiejskiej,2,[]
śpiewających,2,[]
ściekowego,2,[]
łączących,2,[]
łączący,2,[]
łączącej,2,[]
łącząca,2,[]
łódzką,2,[]
łódzkiej,2,[]
łódzkich,2,[]
łódzki,2,[]
łowickiego,2,[]
łopieńskich,2,[]
ładniejsza,2,[]
złotnicki,2,[]
zwierzęce,2,['radość;smutek;strach;wstręt;' 'radość;wstręt;']
zwierzynieckiej,2,[]
zwalniających,2,"['radość;smutek;' 'radość;smutek;' 'radość;smutek;' 'radość;złość;'
 'radość;złość;']"
zszp,2,[]
zrewitalizowanej,2,[]
zimozielonych,2,[]
zimozielone,2,[]
zielonogórskie,2,[]
zewnetrznej,2,[]
zeszłorocznej,2,[]
zdrowotnego,2,[]
zdrowe,2,['złość;radość;smutek' 'radość;']
zdrowa,2,['złość;radość;smutek' 'radość;']
zdrojowej,2,[]
zaśnieżonych,2,[]
zawadzkiego,2,[]
zapylające,2,[]
zaniedbanej,2,[]
zamontowane,2,[]
zamkowej,2,[]
zamaskowany,2,[]
zaczarowana,2,[]
zabytkowego,2,[]
zabezpieczającego,2,[]
zabawowym,2,['radość;smutek;złość;' 'radość;smutek;złość;']
zabawowe,2,['radość;smutek;złość;' 'radość;smutek;złość;']
xix,2,[]
własnych,2,['radość;smutek;']
wyposażona,2,[]
wypoczynkowego,2,[]
wymienionych,2,[]
wskazywanych,2,[]
wskazanych,2,[]
wschodniego,2,[]
wschodnia,2,[]
wrocławski,2,[]
wolny,2,['radość;zaufanie;smutek;złość;']
wolnego,2,[]
wiślanym,2,[]
witany,2,[]
wirtualny,2,[]
wiosenna,2,[]
winnej,2,[]
wincentego,2,[]
wilsona,2,[]
wilga,2,[]
wiertniczej,2,[]
wieniawa,2,[]
wielofunkcyjnego,2,[]
wielkopolska,2,[]
wielkim,2,"['radość;smutek;złość;strach;' 'złość;radość;smutek'
 'radość;smutek;złość;wstręt;' 'radość;smutek;']"
wielkiej,2,"['radość;smutek;złość;strach;' 'złość;radość;smutek'
 'radość;smutek;złość;wstręt;' 'radość;smutek;']"
wielkie,2,"['radość;smutek;złość;strach;' 'złość;radość;smutek'
 'radość;smutek;złość;wstręt;' 'radość;smutek;']"
wiejskiej,2,['złość;radość;wstręt' 'złość;radość;wstręt']
wiechowaty,2,[]
widokowego,2,[]
widokowa,2,[]
widawski,2,[]
ważne,2,[]
warzywny,2,[]
utwardzonej,2,[]
urokliwy,2,[]
ulicznej,2,[]
treningowy,2,[]
toruńskiego,2,[]
terenowych,2,[]
terenowe,2,[]
terapeutyczny,2,[]
tematyczne,2,[]
tatrzańskie,2,[]
takowych,2,[]
takowy,2,[]
słonecznym,2,[]
słodki,2,['złość;radość;wstręt' 'złość;radość']
sąsiedzkiego,2,[]
sąsiedzkich,2,[]
sztuczną,2,[]
sztucznej,2,[]
szpitalny,2,[]
szkolnym,2,[]
szkolnych,2,[]
szkolnego,2,[]
szeregowymi,2,[]
szczytnicki,2,[]
szczególnym,2,[]
szczecińskiej,2,[]
szarych,2,[]
szary,2,[]
suchą,2,['wstręt;smutek']
strumykowej,2,[]
stracone,2,[]
stołeczny,2,[]
startowego,2,[]
stanisławowskiej,2,[]
stalowa,2,[]
srebrzyńskiej,2,[]
sportowych,2,[]
spoleczna,2,[]
spełniających,2,[]
specjalistycznego,2,[]
spacerowej,2,[]
sosnowabatorego,2,[]
solarny,2,[]
socjalnego,2,[]
smoleńskiej,2,[]
smocze,2,[]
skłodowskiej,2,[]
skrzydlaci,2,[]
skaryszewskiego,2,[]
skaryszewska,2,[]
siarczkowych,2,[]
sensorycznymi,2,[]
saski,2,[]
samorządowym,2,[]
sama,2,['złość;radość;smutek' 'złość;radość;smutek']
różany,2,[]
różane,2,[]
różana,2,[]
ruchowych,2,[]
rowerowopiesza,2,[]
roslinnych,2,[]
rolkowym,2,[]
rodzinnego,2,['radość;smutek' 'radość;smutek;']
reprezentacyjna,2,[]
rekreacyjnowypoczynkowy,2,[]
rekreacyjnosportowy,2,[]
rehabilitacyjnotreningowy,2,[]
reagana,2,[]
ratunkowe,2,[]
ratowniczego,2,[]
radosnego,2,[]
racławickiej,2,[]
płocki,2,[]
północnym,2,[]
pułaskiego,2,[]
puszczańska,2,[]
publicznym,2,[]
ptasia,2,[]
pszczyńskiej,2,[]
przeganiany,2,[]
przasnyskiej,2,[]
prowadzącej,2,[]
prostu,2,"['zaufanie;złość;wstręt;' 'radość;' 'radość;zaufanie;wstręt;'
 'radość;smutek;' 'zaufanie;wstręt;' 'radość;zaufanie;złość;wstręt;']"
proponowana,2,[]
prawdziwego,2,[]
praski,2,[]
praktyczna,2,[]
poświętne,2,[]
południowym,2,[]
południowy,2,[]
południowa,2,[]
poznańskich,2,[]
powązkowskim,2,[]
potrzebne,2,[]
pospolity,2,['zaufanie;złość;wstręt' 'zaufanie;złość;wstręt;']
posiadajacych,2,[]
porozrzucanymi,2,[]
pomorska,2,[]
polskich,2,[]
polna,2,[]
pogodnej,2,[]
podziemne,2,[]
podwawelskie,2,[]
podstawową,2,[]
podolski,2,[]
podmiejskiej,2,[]
pneumatyczna,2,[]
