bigram,likelihood_ratio
przy ul.,999.988389628626
dla psów,812.5052449904967
na terenie,737.6963203615828
placu zabaw,685.9941273556803
rzecz ptasiej,540.9040032987953
dla ptaków,522.6624476551402
ptasiej społeczności,518.9747319936218
Wybieg dla,507.36143371120767
w parku,501.96333530742606
bezdomności zwierząt,491.6935230598732
czyli działamy,484.2179686863525
w Parku,461.73703704753717
nr ,435.3498937625708
Ograniczanie bezdomności,402.9161088317569
plac zabaw,400.3767783884357
terenie osiedla,354.142609856569
Tężnia solankowa,290.83371663274244
na rzecz,289.8987898167665
Łąka kwietna,283.34001870531694
terenów zielonych,282.36707974660396
Park kieszonkowy,274.42267412484716
Łódź dla,265.8218080136687
działamy na,261.46501089659444
Podstawowej nr,255.34432903813473
skrzynek lęgowych,252.08110645292962
dla dzieci,251.24300961284993
Plac Zabaw,226.786183379183
wraz z,222.88883863483835
ławeczka Norwida,217.93177431576018
Szkoły Podstawowej,211.01022351093874
na Osiedlu,203.0085206325746
wody pitnej,194.09979956134265
Kaczy Catering,191.16349515497026
sąsiedzki ławeczka,186.31550974779853
ŁODZI RATOWNICY,181.94974314319154
u zbiegu,180.6501036057605
wybieg dla,175.68438999584944
Norwida Karolew.,173.76628351767457
zwierząt na,168.13147839621703
czyste powietrze,167.01100497403294
nowe drzewa,161.1115809837324
VI ,158.51211062466837
Zielony skwer,158.26081758700005
terenu zielonego,154.04915874552063
RATOWNICY ŁODZI,152.648273928551
Szkole Podstawowej,152.5903749877297
Wojska Polskiego,152.1554885235405
Jana Pawła,146.35550793675003
miejsc postojowych,145.46118198409965
Więcej zieleni,145.44320404344958
Chronimy ptaki,145.0725479449501
przy ulicy,144.55812247291652
zagospodarowanie terenu,141.52384694233055
Ogrody deszczowe,139.65454886572644
tężni solankowej,139.1726680824025
W ramach,138.25544686975184
Przedszkola nr,135.3896364107792
Zielone podwórko,133.93443563704133
ekologicznych klas,133.85423819586634
street workout,131.80733873216028
dla mieszkańców,131.3523057877414
inicjatywa plac,130.6254164767662
plac sąsiedzki,129.62240089189373
w ogrodzie,129.2609831292263
Zadbajmy o,128.25041583703896
Chronimy jerzyki,128.18355737696845
Stop utonięciem,126.94986845702361
od bakterii,126.13775029221144
wolne od,126.13775029221144
 Ograniczanie,123.22021022229453
KO TACA,122.8241968812661
Plac zabaw,119.28362660322605
 czyli,119.23689583601211
pomiędzy ul.,118.81958927184311
Zielono mi,117.93830943847324
ramach zadania,116.78342528183835
Nowego SączaOsiedle,115.30048370533329
ZWA PROJEKTU,115.30048370533329
we Wrocławiu,112.95078740862542
PM .,111.50833545413948
Zielone Płuca,110.96592831770064
