token,occurrence,emotion
park,455,[]
parku,359,[]
zabaw,200,[]
zieleni,187,[]
drzew,149,[]
ogród,145,[]
psów,136,['radość;złość;']
rewitalizacja,118,[]
terenie,116,[]
skwer,112,[]
plac,107,[]
placu,106,[]
wybieg,105,[]
ptaków,103,[]
budowa,101,[]
etap,95,[]
nasadzenia,94,[]
ulicy,91,[]
zwierząt,90,[]
zieleń,82,[]
dzielnicy,82,[]
drzewa,78,[]
terenu,77,[]
krzewów,72,[]
zagospodarowanie,67,[]
osiedla,66,[]
dzieci,58,[]
krzewy,57,[]
łódź,52,[]
osiedlu,52,[]
wykonanie,49,[]
łąka,47,[]
ulic,46,[]
rzecz,41,[]
terenów,40,[]
bezdomności,40,[]
społeczności,39,[]
tężnia,38,[]
mieszkańców,38,[]
miejsce,38,[]
kontynuacja,38,[]
łodzi,37,[]
zakątek,37,[]
ogrody,37,[]
wody,36,[]
remont,36,[]
rekreacji,35,[]
ogrodu,35,[]
aleja,34,[]
parki,33,[]
ogrodzie,33,[]
miasta,33,[]
ścieżka,32,[]
skwerze,32,[]
skweru,32,[]
zakup,31,[]
centrum,31,[]
projekt,29,[]
oświetlenie,29,[]
ławki,28,[]
ograniczanie,28,[]
kwiaty,28,[]
teren,27,[]
strefa,27,[]
posadzenie,27,[]
alei,27,[]
owadów,26,[]
mieście,26,[]
wymiana,25,[]
woda,25,[]
projektu,25,[]
łąki,24,[]
zasadzenie,24,[]
warsztaty,24,[]
rejonie,24,[]
montaż,24,[]
parkach,23,[]
nawierzchni,23,[]
wypoczynku,22,[]
rzeki,22,['radość;smutek;' 'radość;wstręt;' 'radość;smutek;złość;']
przestrzeni,22,[]
budki,22,[]
stworzenie,21,[]
ramach,21,[]
miejsca,21,[]
kotów,21,[]
ulica,20,[]
szkoły,20,[]
płuca,20,[]
ptaki,20,[]
modernizacja,20,[]
kultury,20,[]
domu,20,[]
alejek,20,[]
skrzynek,19,[]
powietrze,19,[]
poprawa,19,[]
podwórko,19,[]
nasadzenie,19,[]
wybiegu,18,[]
szkoła,18,[]
szkole,18,[]
przyrody,18,[]
przedszkola,18,[]
osiedle,18,[]
ochrona,18,[]
wróble,17,[]
uzupełnienie,17,[]
stop,17,['radość;smutek;złość;' 'radość;smutek;złość;']
smogu,17,[]
roslin,17,[]
pasa,17,[]
kwiatów,17,[]
koty,17,[]
jerzyki,17,[]
część,17,[]
ścieżki,16,[]
zbiornika,16,[]
ulicach,16,[]
seniorów,16,[]
rozbudowa,16,[]
oświetlenia,16,[]
budek,16,[]
boisko,16,[]
alejki,16,[]
ławek,15,[]
ławeczka,15,[]
zieleniec,15,[]
zdrowie,15,[]
zadania,15,[]
siq,15,[]
przedszkolu,15,[]
ogródek,15,[]
mieszkanców,15,[]
miejsc,15,[]
miasto,15,[]
doposażenie,15,[]
boiska,15,[]
ustawienie,14,[]
uporządkowanie,14,[]
spotkań,14,[]
smogiem,14,[]
skwery,14,[]
skrzyżowaniu,14,[]
pielęgnacja,14,[]
odcinku,14,[]
kosze,14,[]
kino,14,[]
edycja,14,[]
domki,14,[]
chodnika,14,[]
zdrowiu,13,[]
zadanie,13,[]
utworzenie,13,[]
ulicami,13,[]
tężni,13,[]
stawach,13,[]
powietrza,13,[]
pomoc,13,['radość;zaufanie;złość;strach;']
podwórka,13,[]
placem,13,[]
montaz,13,[]
las,13,[]
kastracja,13,[]
inicjatywa,13,[]
hałasu,13,[]
estetyki,13,[]
betonu,13,[]
