bigram,likelihood_ratio
Wybieg dla psów,1481.065765719802
na terenie osiedla,1096.2520827256037
zwierząt na terenie,1071.985769419886
rzecz ptasiej społeczności,1065.3085165917344
przy ul. ,1058.4939089697439
skwer przy ul.,1056.688381188896
przy ul. Grenadierów,1052.052388865693
skweru przy ul.,1050.8489570008421
wybieg dla psów,1050.4544589415848
parku przy ul.,1047.3236219393189
przy ul. Dedala,1045.2075634095243
skwerze przy ul.,1037.887711800515
jordanowskiego przy ul.,1036.7341873187804
przy ul. Rosła,1035.9043142321211
kieszonkowy przy ul.,1033.8752895823302
psów przy ul.,1033.6188631317557
sportowego przy ul.,1033.478237688496
przy ul. Bł.,1030.9868530813137
wieżowcami przy ul.,1030.9868530813137
zieleni przy ul.,1030.8501825505805
Skwer przy ul.,1029.5404653758974
zabaw przy ul.,1027.8019074229753
przy ul. Legionów,1026.2405346648898
przy ul. Puławskiej,1026.2405346648898
przy ul. Spokojnej,1026.0113491874224
 przy ul.,1025.8696047080753
blokami przy ul.,1024.871649646935
przy ul. Krzemienieckiej,1024.3573117296837
terenu przy ul.,1023.0685392679624
przy ul. Gen.,1023.0478998084178
parkingu przy ul.,1021.8353298927309
agility przy ul.,1020.6434165100375
jednorodzinnymi przy ul.,1020.6434165100375
przy ul. Centralnej,1020.6434165100375
przy ul. Cyganerii,1020.6434165100375
przy ul. Dantyszka,1020.6434165100375
przy ul. Gilów,1020.6434165100375
przy ul. Partyzantów,1020.6434165100375
przy ul. Skłodowskiej,1020.6434165100375
przy ul. Wiejskiej,1020.6434165100375
przy ul. Łowickiego,1020.6434165100375
zgłębnika przy ul.,1020.6434165100375
miejski przy ul.,1020.3193837210001
deszczowy przy ul.,1019.4092533491062
przy ul. Skarbców,1017.1638524015023
przy ul. Brzozowej,1016.9542896192831
przy ul. Julianowskim.,1016.9542896192831
przy ul. Krasickiego,1016.9542896192831
przy ul. Lubuskiej,1016.9542896192831
przy ul. Mielnickiej,1016.9542896192831
przy ul. Testowej,1016.8746792415509
chodnika przy ul.,1016.8598259988394
jordanowski przy ul.,1016.725104141816
przy ul. Reja,1015.6926809450382
przy ul. ul.,1015.3125684302894
przy ul. Sikorskiego,1015.1989360995998
boisku przy ul.,1015.1989360995997
Zieleniec przy ul.,1014.538087755691
parkowej przy ul.,1014.538087755691
rekreacyjny przy ul.,1013.7698103770811
Parking przy ul.,1013.1855523507966
podwórku przy ul.,1013.1855523507966
trawnikach przy ul.,1013.1855523507966
baraku przy ul.,1012.9563668733294
przy ul. Wojska,1012.2873475493436
drzew przy ul.,1012.1737263684406
przy ul. Św.,1011.7883841525378
przy ul. Obrońców,1011.5098092088459
przy ul. Przyjaźni,1011.5098092088459
Jordanowski przy ul.,1011.2806237313787
ozdobna przy ul.,1011.2806237313787
przy ul. gen.,1011.2806237313786
przy ul. Józefa,1011.1667118201382
podwórka przy ul.,1010.6655371554339
przy ul. Chopina,1010.3752208275725
Gdyni przy ul.,1010.3752208275724
torowiska przy ul.,1010.3752208275724
Goździków przy ul.,1010.3106143218845
Kabata przy ul.,1010.3106143218845
Kabinie przy ul.,1010.3106143218845
Kalinowskiego przy ul.,1010.3106143218845
Karolinka przy ul.,1010.3106143218845
Komunalnym przy ul.,1010.3106143218845
Oświęcimskiej przy ul.,1010.3106143218845
Podolan przy ul.,1010.3106143218845
Podwórka przy ul.,1010.3106143218845
Srebrzystych przy ul.,1010.3106143218845
TYTUŁ przy ul.,1010.3106143218845
Tulipanów przy ul.,1010.3106143218845
ZIOŁOWĄ przy ul.,1010.3106143218845
bud. przy ul.,1010.3106143218845
budynkami przy ul.,1010.3106143218845
deszczowym przy ul.,1010.3106143218845
deszczową przy ul.,1010.3106143218845
dźwięków przy ul.,1010.3106143218845
jabłoń przy ul.,1010.3106143218845
kapliczki przy ul.,1010.3106143218845
kałuż przy ul.,1010.3106143218845
klonów przy ul.,1010.3106143218845
lipowej przy ul.,1010.3106143218845
nieużytkowanych przy ul.,1010.3106143218845
odwadniająca przy ul.,1010.3106143218845
oligoceńskiej przy ul.,1010.3106143218845
parkingiem przy ul.,1010.3106143218845
pieszojezdnego przy ul.,1010.3106143218845
przy ul. .Tetmajera,1010.3106143218845
przy ul. Arctowskiego,1010.3106143218845
przy ul. Asnyka,1010.3106143218845
przy ul. Baczyńskiego.,1010.3106143218845
przy ul. Bałtycka,1010.3106143218845
przy ul. Bałtyckiej,1010.3106143218845
przy ul. Biedronki,1010.3106143218845
przy ul. Biegańskiego,1010.3106143218845
przy ul. Borowej,1010.3106143218845
przy ul. Bucharskiej.,1010.3106143218845
przy ul. Cedrowej,1010.3106143218845
przy ul. Chylinskiej,1010.3106143218845
przy ul. Cichej.,1010.3106143218845
przy ul. Cienistej,1010.3106143218845
przy ul. Cylkowskiego,1010.3106143218845
przy ul. Czajkowskiego,1010.3106143218845
przy ul. Czwartaków,1010.3106143218845
przy ul. Denney,1010.3106143218845
przy ul. DruskienickiejDukielskiej,1010.3106143218845
przy ul. Drzymały,1010.3106143218845
przy ul. Elbląskiej,1010.3106143218845
przy ul. Elektoralnej,1010.3106143218845
przy ul. Ełckiej,1010.3106143218845
przy ul. Gagarina,1010.3106143218845
przy ul. Glebowej,1010.3106143218845
przy ul. Goetla,1010.3106143218845
przy ul. Gogolińskiej,1010.3106143218845
przy ul. Gospodarskiej,1010.3106143218845
przy ul. Gościniec,1010.3106143218845
przy ul. Gościnnej,1010.3106143218845
przy ul. Goździków,1010.3106143218845
przy ul. Gruzińskiej.,1010.3106143218845
przy ul. Hlonda,1010.3106143218845
przy ul. Jagodowe,1010.3106143218845
przy ul. Jarzębskiego,1010.3106143218845
przy ul. Jasielskiej,1010.3106143218845
przy ul. Joliot,1010.3106143218845
przy ul. JoliotCurie,1010.3106143218845
przy ul. Junackiej.,1010.3106143218845
przy ul. Kardynała,1010.3106143218845
przy ul. Kolonistów,1010.3106143218845
przy ul. Korczaka,1010.3106143218845
przy ul. Korzennej,1010.3106143218845
przy ul. Kosciuszki.,1010.3106143218845
przy ul. Kosmicznej,1010.3106143218845
przy ul. Kossaka,1010.3106143218845
przy ul. Krymskiej,1010.3106143218845
przy ul. Legnickiej.,1010.3106143218845
przy ul. Lekkiej,1010.3106143218845
przy ul. Lipińskiego,1010.3106143218845
przy ul. Lipskiej,1010.3106143218845
przy ul. Lotniczej,1010.3106143218845
przy ul. Ludwika.,1010.3106143218845
przy ul. M.Skłodowskiej,1010.3106143218845
przy ul. Magicznej,1010.3106143218845
przy ul. Magnolii,1010.3106143218845
przy ul. Magnolii.,1010.3106143218845
przy ul. Milenijnej,1010.3106143218845
przy ul. Miodowej,1010.3106143218845
przy ul. Modrej,1010.3106143218845
przy ul. Mrówczej,1010.3106143218845
przy ul. Niepołomickiej,1010.3106143218845
przy ul. Olszewskiego,1010.3106143218845
przy ul. Opolczyka.,1010.3106143218845
przy ul. Orzechowskiej,1010.3106143218845
przy ul. Osiedlowej,1010.3106143218845
przy ul. Ostrogskiej,1010.3106143218845
przy ul. Oswiecimskie,1010.3106143218845
przy ul. Oświęcimskiej,1010.3106143218845
przy ul. Paca,1010.3106143218845
przy ul. Parkowej,1010.3106143218845
przy ul. Piotrkowskiej,1010.3106143218845
przy ul. Piętowej,1010.3106143218845
przy ul. Pogodnej,1010.3106143218845
przy ul. Porębskiego,1010.3106143218845
przy ul. Przemysłowej,1010.3106143218845
przy ul. PrzerwyTetmajera,1010.3106143218845
przy ul. Przyrzecze,1010.3106143218845
przy ul. Roty,1010.3106143218845
przy ul. Rozwadowskiej,1010.3106143218845
przy ul. Ruchliwej.,1010.3106143218845
przy ul. Rydygiera,1010.3106143218845
przy ul. Sambora,1010.3106143218845
przy ul. Schulza,1010.3106143218845
przy ul. Smoluchowskiego,1010.3106143218845
przy ul. Spalin,1010.3106143218845
przy ul. Srebrzyńskiej,1010.3106143218845
przy ul. Stanisławowskiej,1010.3106143218845
przy ul. Stanisławowskiej.,1010.3106143218845
przy ul. Staroniwskie,1010.3106143218845
przy ul. Stańczyka,1010.3106143218845
przy ul. Szajnochy,1010.3106143218845
przy ul. Szarotek,1010.3106143218845
przy ul. Szkolna,1010.3106143218845
przy ul. Sztabowej,1010.3106143218845
przy ul. Słonecznej,1010.3106143218845
przy ul. Tetmajera,1010.3106143218845
przy ul. Topiel,1010.3106143218845
przy ul. Tysiąclecia,1010.3106143218845
przy ul. Wielorybiej,1010.3106143218845
przy ul. Wieniawskiego.,1010.3106143218845
przy ul. Wyczółkowskiego,1010.3106143218845
przy ul. Zagrodowej,1010.3106143218845
przy ul. Zakręt,1010.3106143218845
przy ul. Zdrojowej,1010.3106143218845
przy ul. Zgierskiej,1010.3106143218845
przy ul. Zielnej.,1010.3106143218845
przy ul. Zwierzynieckiej.,1010.3106143218845
przy ul. Złotowskiej,1010.3106143218845
przy ul. ÉciegiennegoStonecznej,1010.3106143218845
przy ul. Św,1010.3106143218845
przy ul. Świetnej,1010.3106143218845
przy ul. Żywieckie,1010.3106143218845
przyrodniczo przy ul.,1010.3106143218845
trampkarzy przy ul.,1010.3106143218845
tramwajowych przy ul.,1010.3106143218845
umiejscowienie przy ul.,1010.3106143218845
zlokalizowanych przy ul.,1010.3106143218845
zręcznościowym przy ul.,1010.3106143218845
żłobka przy ul.,1010.3106143218845
zielonego przy ul.,1009.4059121478203
krzewy przy ul.,1008.8677624606003
Redłowie przy ul.,1007.5884341959461
bloku przy ul.,1007.5884341959461
domy przy ul.,1007.5884341959461
leśnej przy ul.,1007.5884341959461
miododajnymi przy ul.,1007.5884341959461
osiedlowego przy ul.,1007.5884341959461
przy ul. Conrada,1007.5884341959461
przy ul. Kusocińskiego,1007.5884341959461
przy ul. Marysińskiej,1007.5884341959461
przy ul. Maszynowej.,1007.5884341959461
przy ul. Pszczyńskiej,1007.5884341959461
przy ul. Smoleńskiej,1007.5884341959461
przy ul. Wiertniczej,1007.5884341959461
przy ul. Wolnosci,1007.5884341959461
przy ul. Woronicza,1007.5884341959461
pływalni przy ul.,1007.5884341959461
rodzinnego przy ul.,1007.5884341959461
schodów przy ul.,1007.5884341959461
zewnetrznej przy ul.,1007.5884341959461
zieleńcu przy ul.,1007.5884341959461
lasu przy ul.,1007.349066525429
przy ul. Andersa,1006.5923480580495
przy ul. H.,1006.5923480580495
Workout przy ul.,1006.5923480580494
enklawa przy ul.,1006.5923480580494
pływania przy ul.,1006.5923480580494
zielonych przy ul.,1006.4700349992822
krzewów przy ul.,1006.2548623634591
Pogórze przy ul.,1005.9631636139077
Zabrzu przy ul.,1005.9631636139077
boiskiem przy ul.,1005.9631636139077
działkowych przy ul.,1005.9631636139077
kasztanowców przy ul.,1005.9631636139077
przy ul. Marii,1005.9631636139077
przy ul. Paryskiej,1005.9631636139077
skwerku przy ul.,1005.9631636139077
KM przy ul.,1005.5082337920397
inne przy ul.,1005.5082337920397
przy ul. Mościckiego,1005.5082337920397
urzadzen przy ul.,1005.5082337920397
Górka przy ul.,1005.1559383312173
LO przy ul.,1005.1559383312173
budynku przy ul.,1005.1559383312173
przy ul. Armii,1005.1559383312172
przy ul. Kasprowicza,1005.1559383312172
podwórko przy ul.,1005.0235734984099
II przy ul.,1004.9619206932389
przy ul. Słowackiego,1004.8714607454555
publicznej przy ul.,1004.8714607454555
pętli przy ul.,1004.8714607454555
przy ul. Kościuszki,1004.635184539077
miejskiego przy ul.,1004.6351845390768
zdrowia przy ul.,1004.4349488655882
łąki przy ul.,1004.4349488655882
Kieszonkowy przy ul.,1004.1127760543332
mieszkanców przy ul.,1004.1127760543332
Nasadzenia przy ul.,1004.018760754211
łąka przy ul.,1003.5855733304857
ogród przy ul.,1003.552495439221
osiedlu przy ul.,1003.510923729086
Łodzi przy ul.,1003.510923729086
przy ul. II,1003.2465328960342
Zieleń przy ul.,1003.2091101468229
przy ul. Na,1003.1969023304007
PARK przy ul.,1002.2899361696956
Park przy ul.,1001.3574082972436
wybiegu dla psów,961.9738060122471
Łódź dla ptaków,951.4344864780478
dla psów i,914.4100414525947
dla psów ,913.3947416896004
Ograniczanie bezdomności zwierząt,897.0781162292856
zabaw dla psów,874.20153883854
dla psów przy,849.6492187152544
dla psów SIA,846.7860076149445
działamy na rzecz,840.051172020984
wybiegi dla psów,839.8668487666147
dla psów P,836.7716816923933
dla psów Psia,835.5599295644815
dla psów w,835.1215850656197
na rzecz ptasiej,830.8607135338525
dla psów Łąka,827.2650981141734
dla psów bezpieczne,827.1578600305625
dla psów na,826.1824138130085
Filuśwybieg dla psów,823.9138212038768
Parkwybieg dla psów,823.9138212038768
Superwybiegi dla psów,823.9138212038768
dla psów Huśtawka,823.9138212038768
dla psów Kapelusz,823.9138212038768
dla psów Nero,823.9138212038768
dla psów Niedzwiedzia,823.9138212038768
dla psów Nodi,823.9138212038768
dla psów Pompa,823.9138212038768
dla psów Sadyba,823.9138212038768
dla psów Skate,823.9138212038768
dla psów Ziołowy,823.9138212038768
dla psów alejce,823.9138212038768
nieco dla psów,823.9138212038768
wybiegiem dla psów,823.9138212038768
dla psów W,823.7309750442384
dla psów teren,823.6044619279055
dla psów Mini,822.8653762770994
dla psów ul.,822.3387966366035
dla psów Tężnia,821.9548793315525
dla psów VI,821.4025025590074
dla psów Z,821.3204354834894
atrakcje dla psów,821.1798807304345
dla psów Wybieg,820.2430031661772
Kack dla psów,820.17203387914
dla psów Basen,820.17203387914
dla psów Drewniane,820.17203387914
dla psów MINI,820.17203387914
dla psów Teofilów.,820.17203387914
dla psów Chcemy,819.0643970885513
dla psów Kaczkowate,819.0643970885513
dla psów Osiedle,818.156061303872
dla psów street,818.156061303872
dla psów Wymiana,817.4549536677694
dla psów obok,817.2114191430874
dla psów strefa,817.2114191430874
rekreacyjny dla psów,817.2114191430874
strefa dla psów,817.2114191430874
dla psów ze,816.7893998573965
dla psów Nasadzenia,816.2384217156427
dla psów Park,815.7349855370314
 na terenie,815.3584023593843
dla psów wraz,815.3509194263574
dla psów Zieleń,815.2768338340445
parku dla psów,814.8301870220544
park dla psów,814.4875423360536
dla psów Skwer,813.930600832086
Park dla psów,813.6155535811115
dla psów Zielone,813.5236931428287
dla psów .,813.2404586274296
dla psów z,812.9278862074804
krzewy na terenie,793.2341887712558
placu zabaw w,791.7722397440727
zieleni na terenie,789.5021403211589
na terenie miasta,778.366427527932
na terenie zielonym,775.3743520725395
na terenie całego,767.5945093240049
na terenie ,762.1087233223463
drzew na terenie,759.166944537166
na terenie SP,758.9699319536962
na terenie Szkoły,758.150537585869
kwietna na terenie,757.3195411710873
krzewów na terenie,755.7182870829876
na terenie Parku,755.4289651402428
Doświadczeń na terenie,755.1446705618407
się na terenie,755.027586330793
zabaw na terenie,754.5083861061473
deszczowego na terenie,754.0203439078297
na terenie Krakowa,754.0203439078296
kwietników na terenie,753.2310297746536
na terenie Miasta,753.1729050027134
alejki na terenie,752.2228940975865
solankowej na terenie,750.6831104514526
na terenie pomiedzy,750.0730300082158
psów na terenie,749.9767431581874
na terenie Przedszkola,749.3610925262359
na terenie Domu,749.3606773303765
na terenie PS,749.3606773303765
Brat na terenie,749.1232454562153
Parkingowa na terenie,749.1232454562153
deszczowych na terenie,749.1232454562153
edukacyjnej na terenie,749.1232454562153
edukacyjnorelaksacyjnej na terenie,749.1232454562153
gaj na terenie,749.1232454562153
iglastych na terenie,749.1232454562153
kłujących na terenie,749.1232454562153
na terenie Grzybówki.,749.1232454562153
na terenie LEGO,749.1232454562153
na terenie Rodaka.,749.1232454562153
na terenie Schroniska,749.1232454562153
na terenie Specjalnego,749.1232454562153
na terenie Ursynowa.,749.1232454562153
na terenie WTW,749.1232454562153
na terenie dawnej,749.1232454562153
na terenie działek,749.1232454562153
na terenie m.st,749.1232454562153
na terenie publicznym.,749.1232454562153
na terenie swojego,749.1232454562153
na terenie węzła,749.1232454562153
rekreacyjną na terenie,749.1232454562153
ruchowej na terenie,749.1232454562153
sadu na terenie,749.1232454562153
solarnego na terenie,749.1232454562153
sześcioboku na terenie,749.1232454562153
wysypisk na terenie,749.1232454562153
Ładowarek na terenie,749.1232454562153
ściekowej na terenie,749.1232454562153
na terenie parku,748.8976988777803
edukacyjny na terenie,748.1935212627011
na terenie PM,748.134328200619
placu zabaw dla,748.04126950552
sensoryczny na terenie,747.3836853292872
na terenie parków,747.0691946086898
Zmysłów na terenie,746.4113264154885
na terenie OSW,746.4113264154885
na terenie osiedla.,746.4113264154885
na terenie szkół,746.4113264154885
plenerze na terenie,746.4113264154885
pumptrack na terenie,746.4113264154885
rodziny na terenie,746.4113264154885
Śmietniki na terenie,746.4113264154885
ptaków na terenie,745.8425078585426
czyli działamy na,745.7053593729337
edukacyjnych na terenie,745.425501683818
mieszkańcom na terenie,745.425501683818
paczkomatów na terenie,745.425501683818
rekreacyjnego na terenie,745.425501683818
sensoryczna na terenie,745.425501683818
smieci na terenie,745.425501683818
zewnętrznej na terenie,745.425501683818
stawu na terenie,744.9837979164705
na terenie SM,744.8065789669646
lokalizacjach na terenie,744.361911193412
na terenie kompleksu,744.361911193412
na terenie miedzy,744.361911193412
parkowa na terenie,744.361911193412
architektury na terenie,744.019878101979
magnolii na terenie,744.019878101979
na terenie Starego,744.019878101979
na terenie szkoły,744.019878101979
żyjących na terenie,744.019878101979
jerzyków na terenie,743.7456632067289
ED na terenie,743.5196500119623
na terenie przedszkolnego,743.5196500119623
na terenie Osiedla,743.3296776712335
na terenie trawników,743.3296776712335
na terenie OD,743.1676806080751
deszczowy na terenie,743.0280324889802
miejskich na terenie,743.0280324889802
na terenie Miejskiego,743.0280324889802
