token,occurrence,emotion
działamy,37,['radość;zaufanie;cieszenie się na coś oczekiwanego;smutek;złość;']
chronimy,25,"['zaufanie;smutek;złość;'
 'zaufanie;cieszenie się na coś oczekiwanego;złość;wstręt;']"
ratujmy,13,[]
pomóżmy,11,[]
karolew,11,[]
zadbajmy,10,[]
sadzimy,10,[]
ma,10,[]
ratujemy,9,[]
zakłada,7,[]
chrońmy,7,"['zaufanie;smutek;złość;'
 'zaufanie;cieszenie się na coś oczekiwanego;złość;wstręt;']"
zazieleniamy,6,[]
walczy,6,"['radość;złość;' 'radość;smutek;' 'radość;zaufanie;złość;'
 'radość;zaufanie;' 'radość;smutek;złość;' 'radość;smutek;złość;'
 'radość;zaufanie;strach;' 'radość;zaufanie;strach;'
 'radość;smutek;złość;']"
uzupełniam,6,[]
dedala,6,[]
chcemy,6,[]
wolno,5,[]
stanie,5,[]
radzimy,5,[]
radogoszcz,5,[]
polega,5,[]
dajmy,5,[]
da,5,[]
tworzymy,4,[]
rosła,4,"['radość;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;'
 'radość;smutek;złość;' 'radość;złość;strach;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;']"
przewiduje,4,[]
proponuje,4,[]
poznaj,4,[]
ostoją,4,[]
obejmuje,4,[]
mieć,4,[]
łączymy,3,[]
znajduje,3,[]
znaczy,3,[]
zapraszamy,3,[]
wyremontuje,3,[]
wykonac,3,[]
wiedzieć,3,[]
stwórzmy,3,[]
przywróćmy,3,[]
powinna,3,[]
potrzebują,3,[]
oddychać,3,[]
mamy,3,[]
mam,3,[]
gramy,3,[]
dbają,3,[]
bój,3,[]
żubardź,2,[]
zwolnij,2,['radość;smutek;' 'radość;smutek;' 'radość;złość;' 'radość;złość;']
zrób,2,[]
zbudujmy,2,['radość;zaufanie;smutek;złość;' 'radość;zaufanie;smutek;złość;']
zawiszy,2,[]
zasiać,2,"['zaufanie;smutek;złość;'
 'radość;zaufanie;cieszenie się na coś oczekiwanego;smutek;złość;wstręt;'
 'zaufanie;cieszenie się na coś oczekiwanego;strach;']"
zalesie,2,[]
zadbaj,2,[]
włókniarz,2,[]
wisnie,2,[]
weź,2,[]
walcz,2,"['radość;złość;' 'radość;smutek;' 'radość;zaufanie;złość;'
 'radość;zaufanie;' 'radość;smutek;złość;' 'radość;smutek;złość;'
 'radość;zaufanie;strach;' 'radość;zaufanie;strach;'
 'radość;smutek;złość;']"
usunie,2,[]
uczymy,2,[]
trzeba,2,[]
tratew,2,[]
tonie,2,[]
szanuj,2,[]
stawia,2,"['radość;zaufanie;smutek;strach;' 'radość;zaufanie;smutek;złość;'
 'cieszenie się na coś oczekiwanego;złość;wstręt;']"
stanowi,2,[]
skończmy,2,[]
sieną,2,[]
rośnie,2,"['radość;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;'
 'radość;smutek;złość;' 'radość;złość;strach;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;']"
ratuje,2,[]
ratować,2,[]
przyjęto,2,[]
prosze,2,[]
powinien,2,[]
posprzątać,2,[]
posadził,2,[]
pomóż,2,[]
pomaga,2,[]
pokaże,2,[]
pojawia,2,[]
podlewać,2,[]
planuje,2,[]
parkuj,2,[]
