rok,miasto,nazwa,sentence
2020,GDYNIA,Doposażenie parku pomiędzy Estakadą Kwiatkowskiego a wieżowcami przy ul. Dantyszka  w siłownię zewnętrzną i elementy małej architektury  pergole bujne ławki itp.,doposażyć park wieżowiec siłownia elementy architektura pergola bujny ławka
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Obłuże rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja
2020,GDYNIA,Ogród Sąsiedzki przy Dzikim Sadzie ul. Źródlana,ogród źródlany
2020,GDYNIA,Montaż słupów oświetleniowych na chodniku przy ul. Niskiej na odcinku pomiędzy ul. Bohaterów Getta Warszawskiego i Hodowlaną,montaż słup oświetleniowy chodnik niski bohater
2020,GDYNIA,Cotygodniowe weekendowe lekcje tańca towarzyskiego dla dorosłych,lekcja taniec towarzyski dorosły
2020,GDYNIA,Meble miejskie zaprojektowane przez dzieci. Podziemia Hal Targowych w Gdyni.,mebel zaprojektować dziecko
2020,GDYNIA,Odnowienie podwórek w obrębie ulic Płk. Dąbka Kwiatkowskiego Sucharskiego Ledóchowskiego i Macierewicza,odnowić podwórek dąbek
2020,GDYNIA,Poprawa atrakcyjności skweru przy skrzyżowaniu WielkopolskaŁowickaPłocka przez nasadzenie roślin ozdobnych,poprawa atrakcyjność skwer nasadzić roślina ozdobny
2020,GDYNIA,Radarowe wyświetlacze prędkości na ul. Morskiej,radarowy wyświetlacz prędkość morski
2020,GDYNIA,Festyny dzielnicowe i na Dzień Dziecka kino i teatr plenerowy wycieczki ogród sensoryczny kontener i pracownie naukowe na terenie SP  liga piłkarska kursy i warsztaty,festyn dzielnicowy teatr wycieczka ogród kontener pracownia naukowy ligać piłkarski kurs warsztaty
2020,GDYNIA,Budowa wielofunkcyjnych boisk sportowych przy Centrum Kształcenia Zawodowego i Ustawicznego nr ,budowa wielofunkcyjny sport
2020,GDYNIA,Progi zwalniające na Piotrkowskiej  i ,próg zwalniać
2020,GDYNIA,Parki kieszonkowe na Wzgórzu Św. Maksymiliana,park kieszonkowy
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu placu zabaw przy Promenadzie,ławka zadaszyć karmić przewijać dziecko plac zabawić
2020,GDYNIA,Wykonanie sygnalizacji świetlnej przy przejściu dla pieszych w pobliżu przystanku Steyera ,sygnalizacja świetlny przejść pieszy przystanek
2020,GDYNIA,Zumba  zajęcia ruchowe dla mieszkańców,zumba zająć ruchowy mieszkaniec
2020,GDYNIA,Budowa oświetlenia wzdłuż Starodworcowej poprawa bezpieczeństwa pieszych na Gryfa Pomorskiego Zwinisławy Źródle Marii i uspokojenie ruchu na ulicy Górniczej.,budowa poprawa pieszy uspokoić ruch
2020,GDYNIA,Wiata do przewijania i karmienia dzieci na gdyńskim bulwarze,wiata przewijać karmić dziecko gdyński bulwar
2020,GDYNIA,Piknik rodzinny i wieczorny pokaz filmowy,piknik rodzinny wieczorny pokaz filmowy
2020,GDYNIA,Posadowienie masztów z flagą narodową i watykańską przy tablicy upamiętniającej lądowanie Jana Pawła II na lotnisku,posadowić maszt flaga narodowy watykański tablica upamiętniać
2020,GDYNIA,Park Linowy dla dzieci i młodzieży na Dąbrowie,park dziecko młodzież
2020,GDYNIA,Warsztaty psychologicznorozwojowe oraz spotkanie integracyjne dla seniorów,warsztaty psychologicznorozwojowy integracyjny senior
2020,GDYNIA,Ćwiczenia profilaktycznolecznicze w trosce o zdrowy kręgosłup dla dwóch grup.,ćwiczenia profilaktycznoleczniczy troska zdrowy kręgosłup grupić
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Dąbrowa,zabawa mapa gra orientacja
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Kamienna Góra,zabawa mapa gra orientacja
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Chylonia,zabawa mapa gra orientacja
2020,GDYNIA,Doposażenie placu zabaw w Gdyni przy ul. Źródło Marii  w huśtawkę bez oparć dla dzieci starszych,doposażyć plac zabawić huśtawka oprzeć dziecko starszy
2020,GDYNIA,Miejsce parkingowe dla osób z niepełnosprawnością koło Przedszkola nr  ul. Bławatny,parkingowy osoba niepełnosprawność bławatny
2020,GDYNIA,Zakup ciężkiego samochodu ratowniczogaśniczego dla strażaków  z Ochotniczej Straży Pożarnej Gdynia Wiczlino,zakup ciężki samochód ratowniczogaśniczy strażak
2020,GDYNIA,Ogólnodostępne zajęcia sportowe unihokej dla wszystkich,zająć sport unihokej
2020,GDYNIA,Remont nawierzchni drogi pieszej oraz montaż barieroporęczy między ul. Berberysów a Modrzewiową,remont nawierzchnia drogi pieszy montaż berberys
