rok,miasto,nazwa
2020,GDYNIA,"Doposażenie parku pomiędzy Estakadą Kwiatkowskiego a wieżowcami przy ul. Dantyszka ,, w siłownię zewnętrzną i elementy małej architektury - pergole, bujane ławki itp."
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Obłuże rozwijające pamięć i koncentrację
2020,GDYNIA,"Ogród Sąsiedzki przy Dzikim Sadzie, ul. Źródlana"
2020,GDYNIA,Montaż słupów oświetleniowych na chodniku przy ul. Niskiej na odcinku pomiędzy ul. Bohaterów Getta Warszawskiego i Hodowlaną
2020,GDYNIA,Cotygodniowe weekendowe lekcje tańca towarzyskiego dla dorosłych
2020,GDYNIA,Meble miejskie zaprojektowane przez dzieci. Podziemia Hal Targowych w Gdyni.
2020,GDYNIA,"Odnowienie podwórek w obrębie ulic Płk. Dąbka, Kwiatkowskiego, Sucharskiego, Ledóchowskiego i Maciejewicza"
2020,GDYNIA,Poprawa atrakcyjności skweru przy skrzyżowaniu Wielkopolska-Łowicka-Płocka przez nasadzenie roślin ozdobnych
2020,GDYNIA,Radarowe wyświetlacze prędkości na ul. Morskiej
2020,GDYNIA,"Festyny dzielnicowe i na Dzień Dziecka, kino i teatr plenerowy, wycieczki, ogród sensoryczny, kontener i pracownie naukowe na terenie SP , liga piłkarska, kursy i warsztaty"
2020,GDYNIA,Budowa wielofunkcyjnych boisk sportowych przy Centrum Kształcenia Zawodowego i Ustawicznego nr 
2020,GDYNIA,Progi zwalniające na Piotrkowskiej  i 
2020,GDYNIA,Parki kieszonkowe na Wzgórzu Św. Maksymiliana
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu placu zabaw przy Promenadzie
2020,GDYNIA,Wykonanie sygnalizacji świetlnej przy przejściu dla pieszych w pobliżu przystanku Steyera 
2020,GDYNIA,Zumba - zajęcia ruchowe dla mieszkańców
2020,GDYNIA,"Budowa oświetlenia wzdłuż Starodworcowej, poprawa bezpieczeństwa pieszych na Gryfa Pomorskiego, Zwinisławy, Źródle Marii i uspokojenie ruchu na ulicy Górniczej."
2020,GDYNIA,Wiata do przewijania i karmienia dzieci na gdyńskim bulwarze
2020,GDYNIA,Piknik rodzinny i wieczorny pokaz filmowy
2020,GDYNIA,Posadowienie masztów z flagą narodową i watykańską przy tablicy upamiętniającej lądowanie Jana Pawła II na lotnisku
2020,GDYNIA,Park Linowy dla dzieci i młodzieży na Dąbrowie
2020,GDYNIA,Warsztaty psychologiczno-rozwojowe oraz spotkanie integracyjne dla seniorów
2020,GDYNIA,Ćwiczenia profilaktyczno-lecznicze w trosce o zdrowy kręgosłup dla dwóch grup.
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Dąbrowa)
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Kamienna Góra)
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Chylonia)
2020,GDYNIA,Doposażenie placu zabaw w Gdyni przy ul. Źródło Marii  w huśtawkę bez oparć dla dzieci starszych
2020,GDYNIA,Miejsce parkingowe dla osób z niepełnosprawnością koło Przedszkola nr  ul. Bławatna
2020,GDYNIA,Zakup ciężkiego samochodu ratowniczo-gaśniczego dla strażaków  z Ochotniczej Straży Pożarnej Gdynia Wiczlino
2020,GDYNIA,Ogólnodostępne zajęcia sportowe- unihokej dla wszystkich
2020,GDYNIA,Remont nawierzchni drogi pieszej oraz montaż bariero-poręczy między ul. Berberysową a Modrzewiową
2020,GDYNIA,Nauka języka angielskiego z native speakerem
2020,GDYNIA,Biegi dla dzieci i młodzieży
2020,GDYNIA,Sobotnie zajęcia sportowo – rekreacyjne dla mieszkańców Oksywia
2020,GDYNIA,Wybieg dla psów przy ul. Kardynała Stefana Wyszyńskiego w Chwarznie-Wiczlinie
2020,GDYNIA,Letnie spektakle dla dzieci i dorosłych na Grabówku (dwa przedstawienia)
2020,GDYNIA,Budowa nowoczesnego boiska piłkarskiego z syntetyczną trawą -  na terenie SP  przy ul. Sucharskiego w Gdyni
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Babie Doły)
2020,GDYNIA,Dwa spektakle teatralne w plenerze: dla dzieci i dorosłych
2020,GDYNIA,Barierki przy schodach na cmentarzu Oksywie
2020,GDYNIA,Piknik sąsiedzki dla mieszkańców dzielnicy Leszczynki
2020,GDYNIA,Wykonanie kolorowego miasteczka ruchu drogowego wraz z wymianą nawierzchni na terenie Zespołu Szkół Specjalnych nr  przy ul. Witomińskiej /
2020,GDYNIA,Teatrzyki i planszówki w bibliotece
2020,GDYNIA,"Bezpieczne przejście dla pieszych obok SP i przystanku ""Cylkowskiego"""
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Gryfa Pomorskiego
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Kamienna Góra rozwijające pamięć i koncentrację
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w Parku Kilońskim
2020,GDYNIA,"Warsztaty ekomody dla młodzieży i dorosłych, czyli kreatywnego przerabiania ubrań oraz podstaw szycia w Bibliotece z Pasją"
2020,GDYNIA,Cykl warsztatów dla rodziców z dziećmi oraz koncerty muzyczne w Bibliotece Śródmieście
2020,GDYNIA,"Zagospodarowanie Placu Górnośląskiego: nasadzenia nowych rabat kwiatowych, bylin i dużych drzew, budowa parkowego oświetlenia oraz montaż przeciwsłonecznych pergoli."
2020,GDYNIA,Ogród dydaktyczny i szachy plenerowe na terenie Szkoły Podstawowej nr 
2020,GDYNIA,Nowy deptak w parku na zboczu Wzgórza Św. Maksymiliana
