rok,miasto,nazwa,sentence,kategorie,tag
2020,GDYNIA,Doposażenie parku pomiędzy Estakadą Kwiatkowskiego a wieżowcami przy ul. Dantyszka  w siłownię zewnętrzną i elementy małej architektury  pergole bujne ławki itp.,doposażyć park wieżowiec siłownia elementy architektura pergola bujny ławka,NATURA,ogród
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Obłuże rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja,SPOŁECZEŃSTWO,dorosły
2020,GDYNIA,Ogród Sąsiedzki przy Dzikim Sadzie ul. Źródlana,ogród źródlany,NATURA,ogród
2020,GDYNIA,Montaż słupów oświetleniowych na chodniku przy ul. Niskiej na odcinku pomiędzy ul. Bohaterów Getta Warszawskiego i Hodowlaną,montaż słup oświetleniowy chodnik niski bohater,INFRASTRUKTURA,latarnia
2020,GDYNIA,Cotygodniowe weekendowe lekcje tańca towarzyskiego dla dorosłych,lekcja taniec towarzyski dorosły,SPOŁECZEŃSTWO,dorosły
2020,GDYNIA,Meble miejskie zaprojektowane przez dzieci. Podziemia Hal Targowych w Gdyni.,mebel zaprojektować dziecko,SPOŁECZEŃSTWO,dziecko
2020,GDYNIA,Odnowienie podwórek w obrębie ulic Płk. Dąbka Kwiatkowskiego Sucharskiego Ledóchowskiego i Macierewicza,odnowić podwórek dąbek,INFRASTRUKTURA,odnowić
2020,GDYNIA,Poprawa atrakcyjności skweru przy skrzyżowaniu WielkopolskaŁowickaPłocka przez nasadzenie roślin ozdobnych,poprawa atrakcyjność skwer nasadzić roślina ozdobny,NATURA,roślin
2020,GDYNIA,Radarowe wyświetlacze prędkości na ul. Morskiej,radarowy wyświetlacz prędkość morski,INFRASTRUKTURA,sygnalizacja
2020,GDYNIA,Festyny dzielnicowe i na Dzień Dziecka kino i teatr plenerowy wycieczki ogród sensoryczny kontener i pracownie naukowe na terenie SP  liga piłkarska kursy i warsztaty,festyn dzielnicowy teatr wycieczka ogród kontener pracownia naukowy ligać piłkarski kurs warsztaty,SPOŁECZEŃSTWO,warsztat
2020,GDYNIA,Budowa wielofunkcyjnych boisk sportowych przy Centrum Kształcenia Zawodowego i Ustawicznego nr ,budowa wielofunkcyjny sport,SPOŁECZEŃSTWO,sportowo
2020,GDYNIA,Progi zwalniające na Piotrkowskiej  i ,próg zwalniać,INFRASTRUKTURA,zwalniać
2020,GDYNIA,Parki kieszonkowe na Wzgórzu Św. Maksymiliana,park kieszonkowy,NATURA,parkowy
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu placu zabaw przy Promenadzie,ławka zadaszyć karmić przewijać dziecko plac zabawić,INFRASTRUKTURA,ławeczka
2020,GDYNIA,Wykonanie sygnalizacji świetlnej przy przejściu dla pieszych w pobliżu przystanku Steyera ,sygnalizacja świetlny przejść pieszy przystanek,INFRASTRUKTURA,sygnalizacja
2020,GDYNIA,Zumba  zajęcia ruchowe dla mieszkańców,zumba zająć ruchowy mieszkaniec,SPOŁECZEŃSTWO,mieszkaniec
2020,GDYNIA,Budowa oświetlenia wzdłuż Starodworcowej poprawa bezpieczeństwa pieszych na Gryfa Pomorskiego Zwinisławy Źródle Marii i uspokojenie ruchu na ulicy Górniczej.,budowa poprawa pieszy uspokoić ruch,INFRASTRUKTURA,rozwój
2020,GDYNIA,Wiata do przewijania i karmienia dzieci na gdyńskim bulwarze,wiata przewijać karmić dziecko gdyński bulwar,SPOŁECZEŃSTWO,dziecko
2020,GDYNIA,Piknik rodzinny i wieczorny pokaz filmowy,piknik rodzinny wieczorny pokaz filmowy,SPOŁECZEŃSTWO,piknik
2020,GDYNIA,Posadowienie masztów z flagą narodową i watykańską przy tablicy upamiętniającej lądowanie Jana Pawła II na lotnisku,posadowić maszt flaga narodowy watykański tablica upamiętniać,INFRASTRUKTURA,pomnik
2020,GDYNIA,Park Linowy dla dzieci i młodzieży na Dąbrowie,park dziecko młodzież,SPOŁECZEŃSTWO,młodzież
2020,GDYNIA,Warsztaty psychologicznorozwojowe oraz spotkanie integracyjne dla seniorów,warsztaty psychologicznorozwojowy integracyjny senior,SPOŁECZEŃSTWO,warsztaty
2020,GDYNIA,Ćwiczenia profilaktycznolecznicze w trosce o zdrowy kręgosłup dla dwóch grup.,ćwiczenia profilaktycznoleczniczy troska zdrowy kręgosłup grupić,SPOŁECZEŃSTWO,gimnastyczny
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Dąbrowa,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Kamienna Góra,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Chylonia,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Doposażenie placu zabaw w Gdyni przy ul. Źródło Marii  w huśtawkę bez oparć dla dzieci starszych,doposażyć plac zabawić huśtawka oprzeć dziecko starszy,SPOŁECZEŃSTWO,skatepark
2020,GDYNIA,Miejsce parkingowe dla osób z niepełnosprawnością koło Przedszkola nr  ul. Bławatny,parkingowy osoba niepełnosprawność bławatny,SPOŁECZEŃSTWO,niepełnosprawny
2020,GDYNIA,Zakup ciężkiego samochodu ratowniczogaśniczego dla strażaków  z Ochotniczej Straży Pożarnej Gdynia Wiczlino,zakup ciężki samochód ratowniczogaśniczy strażak,INFRASTRUKTURA,samochód
2020,GDYNIA,Ogólnodostępne zajęcia sportowe unihokej dla wszystkich,zająć sport unihokej,SPOŁECZEŃSTWO,sportowo
2020,GDYNIA,Remont nawierzchni drogi pieszej oraz montaż barieroporęczy między ul. Berberysów a Modrzewiową,remont nawierzchnia drogi pieszy montaż berberys,INFRASTRUKTURA,remont
2020,GDYNIA,Nauka języka angielskiego z native speakerem,nauka język angielski,EDUKACJA,angielski
2020,GDYNIA,Biegi dla dzieci i młodzieży,bieg dziecko młodzież,SPOŁECZEŃSTWO,dziecko
2020,GDYNIA,Sobotnie zajęcia sportowo  rekreacyjne dla mieszkańców Oksywia,sobotni zająć sport rekreacyjny mieszkaniec,SPOŁECZEŃSTWO,rekreacyjny
2020,GDYNIA,Wybieg dla psów przy ul. Kardynała Stefana Wyszyńskiego w ChwarznieWiczlinie,wybieg pies kardynał,NATURA,pasać
2020,GDYNIA,Letnie spektakle dla dzieci i dorosłych na Grabówku dwa przedstawienia,spektakl dziecko dorosły przedstawić,SPOŁECZEŃSTWO,dorosły
2020,GDYNIA,Budowa nowoczesnego boiska piłkarskiego z syntetyczną trawą   na terenie SP  przy ul. Sucharskiego w Gdyni,budowa nowoczesny piłkarski syntetyczny trawa,SPOŁECZEŃSTWO,piłkarski
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Babie Doły,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Dwa spektakle teatralne w plenerze dla dzieci i dorosłych,spektakl teatralny plener dziecko dorosły,SPOŁECZEŃSTWO,teatr
2020,GDYNIA,Barierki przy schodach na cmentarzu Oksywie,barierka schody cmentarz,INFRASTRUKTURA,cmentarz
2020,GDYNIA,Piknik sąsiedzki dla mieszkańców dzielnicy Leszczynki,piknik mieszkaniec,SPOŁECZEŃSTWO,piknik
2020,GDYNIA,Wykonanie kolorowego miasteczka ruchu drogowego wraz z wymianą nawierzchni na terenie Zespołu Szkół Specjalnych nr  przy ul. Witomińskim ,kolorowy ruch wymiana nawierzchnia witomiński,SPOŁECZEŃSTWO,kolorowy
2020,GDYNIA,Teatrzyk i planszowki w bibliotece,teatrzyk biblioteka,EDUKACJA,biblioteka
2020,GDYNIA,Bezpieczne przejście dla pieszych obok SP i przystanku Cylkowskiego,bezpieczny pieszy przystanek,INFRASTRUKTURA,przystanek
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Gryfa Pomorskiego,nowoczesny estetyczny ławka,SPOŁECZEŃSTWO,nowoczesny
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Kamienna Góra rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja,SPOŁECZEŃSTWO,dorosły
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w Parku Kilońskim,ławka zadaszyć karmić przewijać dziecko,INFRASTRUKTURA,ławka
2020,GDYNIA,Warsztaty komody dla młodzieży i dorosłych czyli kreatywnego przerabiania ubrań oraz podstaw szycia w Bibliotece z Pasją,warsztaty komoda młodzież dorosły kreatywny przerabiać podstawa szyć,SPOŁECZEŃSTWO,warsztat
2020,GDYNIA,Cykl warsztatów dla rodziców z dziećmi oraz koncerty muzyczne w Bibliotece Śródmieście,warsztat rodzic dziecko koncert muzyczny,SPOŁECZEŃSTWO,koncert
