rok,miasto,nazwa,kategorie
2020,GDYNIA,Doposażenie parku pomiędzy Estakadą Kwiatkowskiego a wieżowcami przy ul. Dantyszka  w siłownię zewnętrzną i elementy małej architektury  pergole bujne ławki itp.,NATURA
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Obłuże rozwijające pamięć i koncentrację,EDUKACJA
2020,GDYNIA,Ogród Sąsiedzki przy Dzikim Sadzie ul. Źródlana,NATURA
2020,GDYNIA,Montaż słupów oświetleniowych na chodniku przy ul. Niskiej na odcinku pomiędzy ul. Bohaterów Getta Warszawskiego i Hodowlaną,INFRASTRUKTURA
2020,GDYNIA,Cotygodniowe weekendowe lekcje tańca towarzyskiego dla dorosłych,SPOŁECZEŃSTWO
2020,GDYNIA,Meble miejskie zaprojektowane przez dzieci. Podziemia Hal Targowych w Gdyni.,EDUKACJA
2020,GDYNIA,Odnowienie podwórek w obrębie ulic Płk. Dąbka Kwiatkowskiego Sucharskiego Ledóchowskiego i Macierewicza,NATURA
2020,GDYNIA,Poprawa atrakcyjności skweru przy skrzyżowaniu WielkopolskaŁowickaPłocka przez nasadzenie roślin ozdobnych,NATURA
2020,GDYNIA,Radarowe wyświetlacze prędkości na ul. Morskiej,EDUKACJA
2020,GDYNIA,Festyny dzielnicowe i na Dzień Dziecka kino i teatr plenerowy wycieczki ogród sensoryczny kontener i pracownie naukowe na terenie SP  liga piłkarska kursy i warsztaty,EDUKACJA
2020,GDYNIA,Budowa wielofunkcyjnych boisk sportowych przy Centrum Kształcenia Zawodowego i Ustawicznego nr ,SPOŁECZEŃSTWO
2020,GDYNIA,Progi zwalniające na Piotrkowskiej  i ,INFRASTRUKTURA
2020,GDYNIA,Parki kieszonkowe na Wzgórzu Św. Maksymiliana,NATURA
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu placu zabaw przy Promenadzie,SPOŁECZEŃSTWO
2020,GDYNIA,Wykonanie sygnalizacji świetlnej przy przejściu dla pieszych w pobliżu przystanku Steyera ,INFRASTRUKTURA
2020,GDYNIA,Zumba  zajęcia ruchowe dla mieszkańców,SPOŁECZEŃSTWO
2020,GDYNIA,Budowa oświetlenia wzdłuż Starodworcowej poprawa bezpieczeństwa pieszych na Gryfa Pomorskiego Zwinisławy Źródle Marii i uspokojenie ruchu na ulicy Górniczej.,INFRASTRUKTURA
2020,GDYNIA,Wiata do przewijania i karmienia dzieci na gdyńskim bulwarze,NATURA
2020,GDYNIA,Piknik rodzinny i wieczorny pokaz filmowy,SPOŁECZEŃSTWO
2020,GDYNIA,Posadowienie masztów z flagą narodową i watykańską przy tablicy upamiętniającej lądowanie Jana Pawła II na lotnisku,INFRASTRUKTURA
2020,GDYNIA,Park Linowy dla dzieci i młodzieży na Dąbrowie,SPOŁECZEŃSTWO
2020,GDYNIA,Warsztaty psychologicznorozwojowe oraz spotkanie integracyjne dla seniorów,EDUKACJA
2020,GDYNIA,Ćwiczenia profilaktycznolecznicze w trosce o zdrowy kręgosłup dla dwóch grup.,SPOŁECZEŃSTWO
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Dąbrowa,SPOŁECZEŃSTWO
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Kamienna Góra,SPOŁECZEŃSTWO
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Chylonia,SPOŁECZEŃSTWO
2020,GDYNIA,Doposażenie placu zabaw w Gdyni przy ul. Źródło Marii  w huśtawkę bez oparć dla dzieci starszych,SPOŁECZEŃSTWO
2020,GDYNIA,Miejsce parkingowe dla osób z niepełnosprawnością koło Przedszkola nr  ul. Bławatny,INFRASTRUKTURA
2020,GDYNIA,Zakup ciężkiego samochodu ratowniczogaśniczego dla strażaków  z Ochotniczej Straży Pożarnej Gdynia Wiczlino,INFRASTRUKTURA
2020,GDYNIA,Ogólnodostępne zajęcia sportowe unihokej dla wszystkich,SPOŁECZEŃSTWO
2020,GDYNIA,Remont nawierzchni drogi pieszej oraz montaż barieroporęczy między ul. Berberysów a Modrzewiową,INFRASTRUKTURA
2020,GDYNIA,Nauka języka angielskiego z native speakerem,EDUKACJA
2020,GDYNIA,Biegi dla dzieci i młodzieży,SPOŁECZEŃSTWO
2020,GDYNIA,Sobotnie zajęcia sportowo  rekreacyjne dla mieszkańców Oksywia,SPOŁECZEŃSTWO
2020,GDYNIA,Wybieg dla psów przy ul. Kardynała Stefana Wyszyńskiego w ChwarznieWiczlinie,SPOŁECZEŃSTWO
2020,GDYNIA,Letnie spektakle dla dzieci i dorosłych na Grabówku dwa przedstawienia,SPOŁECZEŃSTWO
2020,GDYNIA,Budowa nowoczesnego boiska piłkarskiego z syntetyczną trawą   na terenie SP  przy ul. Sucharskiego w Gdyni,SPOŁECZEŃSTWO
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Babie Doły,SPOŁECZEŃSTWO
2020,GDYNIA,Dwa spektakle teatralne w plenerze dla dzieci i dorosłych,SPOŁECZEŃSTWO
2020,GDYNIA,Barierki przy schodach na cmentarzu Oksywie,INFRASTRUKTURA
2020,GDYNIA,Piknik sąsiedzki dla mieszkańców dzielnicy Leszczynki,SPOŁECZEŃSTWO
2020,GDYNIA,Wykonanie kolorowego miasteczka ruchu drogowego wraz z wymianą nawierzchni na terenie Zespołu Szkół Specjalnych nr  przy ul. Witomińskim ,INFRASTRUKTURA
2020,GDYNIA,Teatrzyk i planszowki w bibliotece,EDUKACJA
2020,GDYNIA,Bezpieczne przejście dla pieszych obok SP i przystanku Cylkowskiego,INFRASTRUKTURA
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Gryfa Pomorskiego,EDUKACJA
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Kamienna Góra rozwijające pamięć i koncentrację,EDUKACJA
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w Parku Kilońskim,INFRASTRUKTURA
2020,GDYNIA,Warsztaty komody dla młodzieży i dorosłych czyli kreatywnego przerabiania ubrań oraz podstaw szycia w Bibliotece z Pasją,SPOŁECZEŃSTWO
2020,GDYNIA,Cykl warsztatów dla rodziców z dziećmi oraz koncerty muzyczne w Bibliotece Śródmieście,EDUKACJA
2020,GDYNIA,Zagospodarowanie Placu Górnośląskiego nasadzenia nowych rabat kwiatowych bylin i dużych drzew budowa parkowego oświetlenia oraz montaż przeciwsłonecznych pergoli.,NATURA
2020,GDYNIA,Ogród dydaktyczny i szachy plenerowe na terenie Szkoły Podstawowej nr ,EDUKACJA
2020,GDYNIA,Nowy deptak w parku na zboczu Wzgórza Św. Maksymiliana,NATURA
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu fontanny przy al. Jana Pawła II,NATURA
2020,GDYNIA,Gry i zabawy z mapą i kompasem   imprezy dla młodych starszych i najstarszych w dzielnicy Pustki Kijowskie i Demptowo,SPOŁECZEŃSTWO
2020,GDYNIA,Budowa sygnalizacji świetlnej i przejścia dla pieszych na skrzyżowaniu Wielkopolskiej i Spokojnej,INFRASTRUKTURA
2020,GDYNIA,Pilates  zajęcia ruchowe dla mieszkańców,SPOŁECZEŃSTWO
2020,GDYNIA,Nauka i doskonalenie pływania dla dzieci z klas  SP z terenu Witamina oraz organizacja XIV Mikołajkowy Zawodów Pływackich,EDUKACJA
2020,GDYNIA,Budowa systemu monitoringu na terenie wokół SP nr ,EDUKACJA
2020,GDYNIA,Chodnik na części ul. Rybaków,NATURA
2020,GDYNIA,Zajęcia terenowe nordic walking z instruktorem dla mieszkańców Małego Kaczka,SPOŁECZEŃSTWO
2020,GDYNIA,Boisko przy ul. Kolendrowy  wymiana nawierzchni oraz montaż bramek i piłkochwytów,INFRASTRUKTURA
2020,GDYNIA,Dwie wycieczki jednodniowe dla seniorów,SPOŁECZEŃSTWO
2020,GDYNIA,Cykl warsztatów z robotyki dla dzieci oraz zakup laptopa do nauki programowania w Bibliotece Dąbrowa,EDUKACJA
2020,GDYNIA,Budowa boiska piłkarskiego ze sztuczną trawą przy Szkole Podstawowej  przy ul. Okrzei,SPOŁECZEŃSTWO
2020,GDYNIA,Modernizacja ogólnodostępnego placu zabaw zlokalizowanego w dzielnicy Pogórze Górne w sąsiedztwie bloków przy ulicy Romanowskiego  i .,INFRASTRUKTURA
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Witaminy,SPOŁECZEŃSTWO
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Orłowo,SPOŁECZEŃSTWO
2020,GDYNIA,Spektakle edukacyjne oraz spotkania autorskie w bibliotece na Obłoku,EDUKACJA
2020,GDYNIA,Adaptacja i modernizacja placu zabaw dla dzieci przy Przedszkolu nr  w Gdyni Karwiny,SPOŁECZEŃSTWO
2020,GDYNIA,Remont schodów wraz z budową kładki dla osób niepełnosprawnych prowadzących do lokali użytkowych w tym apteki i przychodni stomatologicznej przy ul. Żołnierzy I WP ,INFRASTRUKTURA
2020,GDYNIA,Stworzenie specjalistycznych pracowni warsztatów rzemieślniczych manualnokonstruktorskich,SPOŁECZEŃSTWO
2020,GDYNIA,Remont boiska ul. W. Radnego międzypokoleniowy turniej sportowy warsztaty dla seniorów ruchowe malarskie z psychologiem kino plenerowe sąsiedzki piknik wyprzedaż garażowa,SPOŁECZEŃSTWO
2020,GDYNIA,Bezpłatne szkolenia z pierwszej pomocy dla mieszkańców Wzgórza św. Maksymiliana,EDUKACJA
2020,GDYNIA,Zajęcia korygujące wady postawy dla dzieci i młodzieży,SPOŁECZEŃSTWO
2020,GDYNIA, pokazów filmowych,EDUKACJA
2020,GDYNIA,Cotygodniowe ćwiczenia gimnastyczne dla każdego z przerwą wakacyjną,SPOŁECZEŃSTWO
2020,GDYNIA,Rodzinne warsztaty kaligraficzne,EDUKACJA
2020,GDYNIA,Nasadzenia kwiatów i innych kompozycji roślinnych przy ulicach Dedala Ikara Zielonej i Rybaków,NATURA
2020,GDYNIA,Remont podjazdów dla wózków na schodach prowadzących od ulicy Słowackiego do Piotra Skargi przez teren Szkoły Podstawowej nr ,INFRASTRUKTURA
2020,GDYNIA,Warsztaty teatralne oraz wokalne dla młodzieży i seniorów z dzielnicy Mały Kack,SPOŁECZEŃSTWO
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Karwiny,SPOŁECZEŃSTWO
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Grabówek,SPOŁECZEŃSTWO
2020,GDYNIA,Zagospodarowanie terenu zielonego przy parkingu na Polance Radcowskiej poprzez uporządkowanie terenu wykonanie paleniska postawienie ławek oraz koszy na śmieci,INFRASTRUKTURA
2020,GDYNIA,Nauka języka hiszpańskiego dla początkujących,EDUKACJA
2020,GDYNIA,Przebudowa placu zabaw przy ul. Szubińskiej wraz z dostosowaniem do potrzeb osób z niepełnosprawnościami.,SPOŁECZEŃSTWO
2020,GDYNIA,Warsztaty animacje koncerty przy letniej czytelni Biblioteki Gdyńskiej na plaży,EDUKACJA
2020,GDYNIA,Rozbudowa skateparku pod estakadą Kwiatkowskiego,INFRASTRUKTURA
2020,GDYNIA,Wyposażenie placu przy SO nr  przy ul. Hallera  w interaktywne edukacyjne urządzenia,EDUKACJA
2020,GDYNIA,Budowa bieżni ze skocznią do skoku w dal i stanowiskiem do pchnięcia kulą  wraz z zagospodarowaniem terenu przy Szkole Podstawowej nr ,INFRASTRUKTURA
2020,GDYNIA,Szkoła dla rodziców  cykl warsztatów poszerzających kompetencje wychowawcze,EDUKACJA
2020,GDYNIA,Ławki z bali pni na trasach spacerowych w lasach i trasy rowerowe dla rowerów MX EURO obok parku rodzinnego przy ul. Spokojnej,NATURA
2020,GDYNIA,Modernizacja oraz wymiana nawierzchni na placu zabaw na Skwerze Ireny Kwiatkowski Obłuże,INFRASTRUKTURA
2020,GDYNIA,Piknik rodzinny z SP Wiczlino z wymianą sąsiedzką rzeczy,SPOŁECZEŃSTWO
2020,GDYNIA,Psi wybieg na Pustkach Cisowskich,NATURA
2020,GDYNIA,Stworzenie mieszkańcom Grabówka  tuż przy wejściu do lasu od ul. Demela  miejsca spotkań odpoczynku i rekreacji,NATURA
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Babie Doły rozwijające pamięć i koncentrację,EDUKACJA
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Starodworcowej,EDUKACJA
2020,GDYNIA,Ogród sensorycznorekreacyjny dla mieszkańców dzielnicy Pogórze przy ul. Porębskiego ,NATURA
2020,GDYNIA,Montaż tablicy informacji pasażerskiej na przystanku autobusowym Dąbrowa Centrum w kierunku centrum Gdyni,INFRASTRUKTURA
2020,GDYNIA,Budowa nowoczesnego boiska piłkarskiego z syntetyczną trawą  na terenie po byłych ogródkach działkowych przy ul. II PS i Wielkołuckiej na Witominie,SPOŁECZEŃSTWO
2020,GDYNIA,Oświetlenie i uspokojenie ruchu na ulicy Żaglowej na odcinku ,INFRASTRUKTURA
2020,GDYNIA,Gry i zabawy z mapą i kompasem  cykliczne zajęcia dla najmłodszych na Kamiennej Górze,SPOŁECZEŃSTWO
2020,GDYNIA,Taniec towarzyski i zajęcia fitness na Pustkach CisowskichDemptowie,SPOŁECZEŃSTWO
2020,GDYNIA,Cykliczne spotkania z grami planszowymi dla wszystkich mieszkańców Radiowa,SPOŁECZEŃSTWO
2020,GDYNIA,Park kieszonkowy przy ulicy Staffa obok SP uporządkowanie terenu pomiędzy przedszkolem  a ulicą Korzenną oraz nasadzenia róź i trzciniaków w pasie rozdziału ulicy Brzechwy,NATURA
2020,GDYNIA,Ustawienie dwóch tablic opisujących historię dzielnicy Leszczynki,EDUKACJA
2020,GDYNIA,Szkolenia dla mieszkańców Dąbrowy  pierwsza pomoc oraz taniec towarzyski,SPOŁECZEŃSTWO
2020,GDYNIA,Dwie wycieczki jednodniowe poza Trójmiasto dla seniorów,SPOŁECZEŃSTWO
2020,GDYNIA,Organizacja sześciu wyjść do placówek kultury dla seniorów z Cisowej,EDUKACJA
